case_id,case_index,family,active_views,relative_noise,method,role,field_relative_l2,gradient_relative_l2,front_top10_f1,weighted_residual_relative_l2,heldout_clean_relative_l2,huber_penalty,huber_penalty_ratio_vs_h1,coefficient_relative_shift,field_relative_shift,shared_cache_forward_calls,shared_cache_adjoint_calls,reduced_forward_calls,reduced_adjoint_calls,evaluator_forward_calls,local_update_accepted,local_wall_seconds,balance_ratio,effective_huber_weight,local_accepted_steps,local_maximum_data_residual_ratio,local_maximum_field_relative_shift,local_huber_penalty_nonincreasing,local_fallback_to_h1,local_converged,local_truth_accessed,local_meta_json,field_gain_vs_h1_percent,gradient_gain_vs_h1_percent
dev-4v-plume,0,plume,4,0.04,h1_cached,baseline,0.9017029404640198,1.1584357023239136,0.4525480568408966,0.06091410286672459,0.876302182674408,96437.96875,1.0,0.0,0.0,20,20,0,0,1,True,0.0,,,0,,,,False,False,False,{},0.0,0.0
dev-4v-plume,0,plume,4,0.04,same_objective_reopt,equivalence_control,0.9017029404640198,1.1584357023239136,0.4525480568408966,0.060914116843819824,0.8763022422790527,96437.9609375,0.9999999189893762,1.2170779770926653e-07,9.766646452849997e-08,20,20,0,0,1,True,0.0,,,0,,,,False,False,False,{},0.0,0.0
dev-4v-plume,0,plume,4,0.04,data_exact,simple_deployable_control,0.9018195867538452,1.1865553855895996,0.45071712136268616,0.04977652441748219,0.8783811330795288,102785.484375,1.065819673591995,0.13609168636274308,0.06001835589778015,20,20,0,0,1,True,0.0,,,0,,,,False,False,False,{},-0.012936221519407803,-2.427384032560092
dev-4v-plume,0,plume,4,0.04,data_beta_025,simple_deployable_control,0.9016889333724976,1.1652239561080933,0.451937735080719,0.05631310868153166,0.8767815232276917,97993.96875,1.0161347239076932,0.03402291428236889,0.015004590915060949,20,20,0,0,1,True,0.0,,,0,,,,False,False,False,"{""beta"": 0.25}",0.0015534042192441664,-0.585984510884973
dev-4v-plume,0,plume,4,0.04,data_beta_050,simple_deployable_control,0.9017036557197571,1.1721752882003784,0.45376870036125183,0.052781708214607224,0.8772878050804138,99571.53125,1.0324930371368901,0.06804584318137154,0.030009176008274165,20,20,0,0,1,True,0.0,,,0,,,,False,False,False,"{""beta"": 0.5}",-7.932276864225531e-05,-1.186046480516972
dev-4v-plume,0,plume,4,0.04,data_beta_075,simple_deployable_control,0.9017472863197327,1.1792865991592407,0.451937735080719,0.05054457977751372,0.8778210282325745,101169.078125,1.0490585755415964,0.10206877208037418,0.04501376595302716,20,20,0,0,1,True,0.0,,,0,,,,False,False,False,"{""beta"": 0.75}",-0.004918011655819829,-1.7999183548554833
dev-4v-plume,0,plume,4,0.04,huber_ratio_025,fixed_huber_candidate,0.9017029404640198,1.1584357023239136,0.4525480568408966,0.06091410286672459,0.876302182674408,96437.96875,1.0,0.0,9.310485044627107e-08,20,20,0,0,1,False,0.12105637497734278,0.25,0.0003582483221169982,0,1.0,0.0,True,True,False,False,"{""accepted_steps"": 0, ""balance_ratio"": 0.25, ""converged"": false, ""effective_huber_weight"": 0.0003582483221169982, ""fallback_to_h1"": true, ""huber_penalty_nonincreasing"": true, ""maximum_data_residual_ratio"": 1.0, ""maximum_field_relative_shift"": 0.0}",0.0,0.0
dev-4v-plume,0,plume,4,0.04,huber_ratio_050,fixed_huber_candidate,0.9017029404640198,1.1584357023239136,0.4525480568408966,0.06091410286672459,0.876302182674408,96437.96875,1.0,0.0,9.310485044627107e-08,20,20,0,0,1,False,0.11908954102545977,0.5,0.0007164966442339964,0,1.0,0.0,True,True,False,False,"{""accepted_steps"": 0, ""balance_ratio"": 0.5, ""converged"": false, ""effective_huber_weight"": 0.0007164966442339964, ""fallback_to_h1"": true, ""huber_penalty_nonincreasing"": true, ""maximum_data_residual_ratio"": 1.0, ""maximum_field_relative_shift"": 0.0}",0.0,0.0
dev-4v-plume,0,plume,4,0.04,huber_ratio_100,fixed_huber_candidate,0.9017029404640198,1.1584357023239136,0.4525480568408966,0.06091410286672459,0.876302182674408,96437.96875,1.0,0.0,9.310485044627107e-08,20,20,0,0,1,False,0.11896504205651581,1.0,0.0014329932884679928,0,1.0,0.0,True,True,False,False,"{""accepted_steps"": 0, ""balance_ratio"": 1.0, ""converged"": false, ""effective_huber_weight"": 0.0014329932884679928, ""fallback_to_h1"": true, ""huber_penalty_nonincreasing"": true, ""maximum_data_residual_ratio"": 1.0, ""maximum_field_relative_shift"": 0.0}",0.0,0.0
dev-4v-plume,0,plume,4,0.04,huber_ratio_200,fixed_huber_candidate,0.9017029404640198,1.1584357023239136,0.4525480568408966,0.06091410286672459,0.876302182674408,96437.96875,1.0,0.0,9.310485044627107e-08,20,20,0,0,1,False,0.11761470802593976,2.0,0.0028659865769359856,0,1.0,0.0,True,True,False,False,"{""accepted_steps"": 0, ""balance_ratio"": 2.0, ""converged"": false, ""effective_huber_weight"": 0.0028659865769359856, ""fallback_to_h1"": true, ""huber_penalty_nonincreasing"": true, ""maximum_data_residual_ratio"": 1.0, ""maximum_field_relative_shift"": 0.0}",0.0,0.0
